System,Atom,z_slab,z_depth
CaH2_slab/3,Ca_001,0.048,0.452
CaH2_slab/3,Ca_002,0.048,0.452
CaH2_slab/3,Ca_003,0.048,0.452
CaH2_slab/3,Ca_004,0.048,0.452
CaH2_slab/3,Ca_005,0.217,0.283
CaH2_slab/3,Ca_006,0.217,0.283
CaH2_slab/3,Ca_007,0.217,0.283
CaH2_slab/3,Ca_008,0.217,0.283
CaH2_slab/3,Ca_009,0.048,0.452
CaH2_slab/3,Ca_010,0.048,0.452
CaH2_slab/3,Ca_011,0.048,0.452
CaH2_slab/3,Ca_012,0.048,0.452
CaH2_slab/3,Ca_013,0.217,0.283
CaH2_slab/3,Ca_014,0.217,0.283
CaH2_slab/3,Ca_015,0.217,0.283
CaH2_slab/3,Ca_016,0.217,0.283
CaH2_slab/3,Ca_017,0.407,0.093
CaH2_slab/3,Ca_018,0.407,0.093
CaH2_slab/3,Ca_019,0.407,0.093
CaH2_slab/3,Ca_020,0.407,0.093
CaH2_slab/3,Ca_021,0.593,0.093
CaH2_slab/3,Ca_022,0.593,0.093
CaH2_slab/3,Ca_023,0.593,0.093
CaH2_slab/3,Ca_024,0.593,0.093
CaH2_slab/3,Ca_025,0.407,0.093
CaH2_slab/3,Ca_026,0.407,0.093
CaH2_slab/3,Ca_027,0.407,0.093
CaH2_slab/3,Ca_028,0.407,0.093
CaH2_slab/3,Ca_029,0.593,0.093
CaH2_slab/3,Ca_030,0.593,0.093
CaH2_slab/3,Ca_031,0.593,0.093
CaH2_slab/3,Ca_032,0.593,0.093
CaH2_slab/3,Ca_033,0.783,0.283
CaH2_slab/3,Ca_034,0.783,0.283
CaH2_slab/3,Ca_035,0.783,0.283
CaH2_slab/3,Ca_036,0.783,0.283
CaH2_slab/3,Ca_037,0.952,0.452
CaH2_slab/3,Ca_038,0.952,0.452
CaH2_slab/3,Ca_039,0.952,0.452
CaH2_slab/3,Ca_040,0.952,0.452
CaH2_slab/3,Ca_041,0.783,0.283
CaH2_slab/3,Ca_042,0.783,0.283
CaH2_slab/3,Ca_043,0.783,0.283
CaH2_slab/3,Ca_044,0.783,0.283
CaH2_slab/3,Ca_045,0.952,0.452
CaH2_slab/3,Ca_046,0.952,0.452
CaH2_slab/3,Ca_047,0.952,0.452
CaH2_slab/3,Ca_048,0.952,0.452
CaH2_slab/4,Ca_001,0.035,0.465
CaH2_slab/4,Ca_002,0.035,0.465
CaH2_slab/4,Ca_003,0.035,0.465
CaH2_slab/4,Ca_004,0.035,0.465
CaH2_slab/4,Ca_005,0.158,0.342
CaH2_slab/4,Ca_006,0.158,0.342
CaH2_slab/4,Ca_007,0.158,0.342
CaH2_slab/4,Ca_008,0.158,0.342
CaH2_slab/4,Ca_009,0.035,0.465
CaH2_slab/4,Ca_010,0.035,0.465
CaH2_slab/4,Ca_011,0.035,0.465
CaH2_slab/4,Ca_012,0.035,0.465
CaH2_slab/4,Ca_013,0.158,0.342
CaH2_slab/4,Ca_014,0.158,0.342
CaH2_slab/4,Ca_015,0.158,0.342
CaH2_slab/4,Ca_016,0.158,0.342
CaH2_slab/4,Ca_017,0.300,0.200
CaH2_slab/4,Ca_018,0.300,0.200
CaH2_slab/4,Ca_019,0.300,0.200
CaH2_slab/4,Ca_020,0.300,0.200
CaH2_slab/4,Ca_021,0.432,0.068
CaH2_slab/4,Ca_022,0.432,0.068
CaH2_slab/4,Ca_023,0.432,0.068
CaH2_slab/4,Ca_024,0.432,0.068
CaH2_slab/4,Ca_025,0.300,0.200
CaH2_slab/4,Ca_026,0.300,0.200
CaH2_slab/4,Ca_027,0.300,0.200
CaH2_slab/4,Ca_028,0.300,0.200
CaH2_slab/4,Ca_029,0.432,0.068
CaH2_slab/4,Ca_030,0.432,0.068
CaH2_slab/4,Ca_031,0.432,0.068
CaH2_slab/4,Ca_032,0.432,0.068
CaH2_slab/4,Ca_033,0.568,0.068
CaH2_slab/4,Ca_034,0.568,0.068
CaH2_slab/4,Ca_035,0.568,0.068
CaH2_slab/4,Ca_036,0.568,0.068
CaH2_slab/4,Ca_037,0.700,0.200
CaH2_slab/4,Ca_038,0.700,0.200
CaH2_slab/4,Ca_039,0.700,0.200
CaH2_slab/4,Ca_040,0.700,0.200
CaH2_slab/4,Ca_041,0.568,0.068
CaH2_slab/4,Ca_042,0.568,0.068
CaH2_slab/4,Ca_043,0.568,0.068
CaH2_slab/4,Ca_044,0.568,0.068
CaH2_slab/4,Ca_045,0.700,0.200
CaH2_slab/4,Ca_046,0.700,0.200
CaH2_slab/4,Ca_047,0.700,0.200
CaH2_slab/4,Ca_048,0.700,0.200
CaH2_slab/4,Ca_049,0.842,0.342
CaH2_slab/4,Ca_050,0.842,0.342
CaH2_slab/4,Ca_051,0.842,0.342
CaH2_slab/4,Ca_052,0.842,0.342
CaH2_slab/4,Ca_053,0.965,0.465
CaH2_slab/4,Ca_054,0.965,0.465
CaH2_slab/4,Ca_055,0.965,0.465
CaH2_slab/4,Ca_056,0.965,0.465
CaH2_slab/4,Ca_057,0.842,0.342
CaH2_slab/4,Ca_058,0.842,0.342
CaH2_slab/4,Ca_059,0.842,0.342
CaH2_slab/4,Ca_060,0.842,0.342
CaH2_slab/4,Ca_061,0.965,0.465
CaH2_slab/4,Ca_062,0.965,0.465
CaH2_slab/4,Ca_063,0.965,0.465
CaH2_slab/4,Ca_064,0.965,0.465
CaH2_slab/5,Ca_001,0.028,0.472
CaH2_slab/5,Ca_002,0.028,0.472
CaH2_slab/5,Ca_003,0.028,0.472
CaH2_slab/5,Ca_004,0.028,0.472
CaH2_slab/5,Ca_005,0.124,0.376
CaH2_slab/5,Ca_006,0.124,0.376
CaH2_slab/5,Ca_007,0.124,0.376
CaH2_slab/5,Ca_008,0.124,0.376
CaH2_slab/5,Ca_009,0.028,0.472
CaH2_slab/5,Ca_010,0.028,0.472
CaH2_slab/5,Ca_011,0.028,0.472
CaH2_slab/5,Ca_012,0.028,0.472
CaH2_slab/5,Ca_013,0.124,0.376
CaH2_slab/5,Ca_014,0.124,0.376
CaH2_slab/5,Ca_015,0.124,0.376
CaH2_slab/5,Ca_016,0.124,0.376
CaH2_slab/5,Ca_017,0.236,0.264
CaH2_slab/5,Ca_018,0.236,0.264
CaH2_slab/5,Ca_019,0.236,0.264
CaH2_slab/5,Ca_020,0.236,0.264
CaH2_slab/5,Ca_021,0.340,0.160
CaH2_slab/5,Ca_022,0.340,0.160
CaH2_slab/5,Ca_023,0.340,0.160
CaH2_slab/5,Ca_024,0.340,0.160
CaH2_slab/5,Ca_025,0.236,0.264
CaH2_slab/5,Ca_026,0.236,0.264
CaH2_slab/5,Ca_027,0.236,0.264
CaH2_slab/5,Ca_028,0.236,0.264
CaH2_slab/5,Ca_029,0.340,0.160
CaH2_slab/5,Ca_030,0.340,0.160
CaH2_slab/5,Ca_031,0.340,0.160
CaH2_slab/5,Ca_032,0.340,0.160
CaH2_slab/5,Ca_033,0.446,0.054
CaH2_slab/5,Ca_034,0.446,0.054
CaH2_slab/5,Ca_035,0.446,0.054
CaH2_slab/5,Ca_036,0.446,0.054
CaH2_slab/5,Ca_037,0.554,0.054
CaH2_slab/5,Ca_038,0.554,0.054
CaH2_slab/5,Ca_039,0.554,0.054
CaH2_slab/5,Ca_040,0.554,0.054
CaH2_slab/5,Ca_041,0.446,0.054
CaH2_slab/5,Ca_042,0.446,0.054
CaH2_slab/5,Ca_043,0.446,0.054
CaH2_slab/5,Ca_044,0.446,0.054
CaH2_slab/5,Ca_045,0.554,0.054
CaH2_slab/5,Ca_046,0.554,0.054
CaH2_slab/5,Ca_047,0.554,0.054
CaH2_slab/5,Ca_048,0.554,0.054
CaH2_slab/5,Ca_049,0.660,0.160
CaH2_slab/5,Ca_050,0.660,0.160
CaH2_slab/5,Ca_051,0.660,0.160
CaH2_slab/5,Ca_052,0.660,0.160
CaH2_slab/5,Ca_053,0.764,0.264
CaH2_slab/5,Ca_054,0.764,0.264
CaH2_slab/5,Ca_055,0.764,0.264
CaH2_slab/5,Ca_056,0.764,0.264
CaH2_slab/5,Ca_057,0.660,0.160
CaH2_slab/5,Ca_058,0.660,0.160
CaH2_slab/5,Ca_059,0.660,0.160
CaH2_slab/5,Ca_060,0.660,0.160
CaH2_slab/5,Ca_061,0.764,0.264
CaH2_slab/5,Ca_062,0.764,0.264
CaH2_slab/5,Ca_063,0.764,0.264
CaH2_slab/5,Ca_064,0.764,0.264
CaH2_slab/5,Ca_065,0.876,0.376
CaH2_slab/5,Ca_066,0.876,0.376
CaH2_slab/5,Ca_067,0.876,0.376
CaH2_slab/5,Ca_068,0.876,0.376
CaH2_slab/5,Ca_069,0.972,0.472
CaH2_slab/5,Ca_070,0.972,0.472
CaH2_slab/5,Ca_071,0.972,0.472
CaH2_slab/5,Ca_072,0.972,0.472
CaH2_slab/5,Ca_073,0.876,0.376
CaH2_slab/5,Ca_074,0.876,0.376
CaH2_slab/5,Ca_075,0.876,0.376
CaH2_slab/5,Ca_076,0.876,0.376
CaH2_slab/5,Ca_077,0.972,0.472
CaH2_slab/5,Ca_078,0.972,0.472
CaH2_slab/5,Ca_079,0.972,0.472
CaH2_slab/5,Ca_080,0.972,0.472
CaH2_slab/6,Ca_001,0.023,0.477
CaH2_slab/6,Ca_002,0.023,0.477
CaH2_slab/6,Ca_003,0.023,0.477
CaH2_slab/6,Ca_004,0.023,0.477
CaH2_slab/6,Ca_005,0.102,0.398
CaH2_slab/6,Ca_006,0.102,0.398
CaH2_slab/6,Ca_007,0.102,0.398
CaH2_slab/6,Ca_008,0.102,0.398
CaH2_slab/6,Ca_009,0.023,0.477
CaH2_slab/6,Ca_010,0.023,0.477
CaH2_slab/6,Ca_011,0.023,0.477
CaH2_slab/6,Ca_012,0.023,0.477
CaH2_slab/6,Ca_013,0.102,0.398
CaH2_slab/6,Ca_014,0.102,0.398
CaH2_slab/6,Ca_015,0.102,0.398
CaH2_slab/6,Ca_016,0.102,0.398
CaH2_slab/6,Ca_017,0.195,0.305
CaH2_slab/6,Ca_018,0.195,0.305
CaH2_slab/6,Ca_019,0.195,0.305
CaH2_slab/6,Ca_020,0.195,0.305
CaH2_slab/6,Ca_021,0.280,0.220
CaH2_slab/6,Ca_022,0.280,0.220
CaH2_slab/6,Ca_023,0.280,0.220
CaH2_slab/6,Ca_024,0.280,0.220
CaH2_slab/6,Ca_025,0.195,0.305
CaH2_slab/6,Ca_026,0.195,0.305
CaH2_slab/6,Ca_027,0.195,0.305
CaH2_slab/6,Ca_028,0.195,0.305
CaH2_slab/6,Ca_029,0.280,0.220
CaH2_slab/6,Ca_030,0.280,0.220
CaH2_slab/6,Ca_031,0.280,0.220
CaH2_slab/6,Ca_032,0.280,0.220
CaH2_slab/6,Ca_033,0.369,0.131
CaH2_slab/6,Ca_034,0.369,0.131
CaH2_slab/6,Ca_035,0.369,0.131
CaH2_slab/6,Ca_036,0.369,0.131
CaH2_slab/6,Ca_037,0.456,0.044
CaH2_slab/6,Ca_038,0.456,0.044
CaH2_slab/6,Ca_039,0.456,0.044
CaH2_slab/6,Ca_040,0.456,0.044
CaH2_slab/6,Ca_041,0.369,0.131
CaH2_slab/6,Ca_042,0.369,0.131
CaH2_slab/6,Ca_043,0.369,0.131
CaH2_slab/6,Ca_044,0.369,0.131
CaH2_slab/6,Ca_045,0.456,0.044
CaH2_slab/6,Ca_046,0.456,0.044
CaH2_slab/6,Ca_047,0.456,0.044
CaH2_slab/6,Ca_048,0.456,0.044
CaH2_slab/6,Ca_049,0.544,0.044
CaH2_slab/6,Ca_050,0.544,0.044
CaH2_slab/6,Ca_051,0.544,0.044
CaH2_slab/6,Ca_052,0.544,0.044
CaH2_slab/6,Ca_053,0.631,0.131
CaH2_slab/6,Ca_054,0.631,0.131
CaH2_slab/6,Ca_055,0.631,0.131
CaH2_slab/6,Ca_056,0.631,0.131
CaH2_slab/6,Ca_057,0.544,0.044
CaH2_slab/6,Ca_058,0.544,0.044
CaH2_slab/6,Ca_059,0.544,0.044
CaH2_slab/6,Ca_060,0.544,0.044
CaH2_slab/6,Ca_061,0.631,0.131
CaH2_slab/6,Ca_062,0.631,0.131
CaH2_slab/6,Ca_063,0.631,0.131
CaH2_slab/6,Ca_064,0.631,0.131
CaH2_slab/6,Ca_065,0.720,0.220
CaH2_slab/6,Ca_066,0.720,0.220
CaH2_slab/6,Ca_067,0.720,0.220
CaH2_slab/6,Ca_068,0.720,0.220
CaH2_slab/6,Ca_069,0.805,0.305
CaH2_slab/6,Ca_070,0.805,0.305
CaH2_slab/6,Ca_071,0.805,0.305
CaH2_slab/6,Ca_072,0.805,0.305
CaH2_slab/6,Ca_073,0.720,0.220
CaH2_slab/6,Ca_074,0.720,0.220
CaH2_slab/6,Ca_075,0.720,0.220
CaH2_slab/6,Ca_076,0.720,0.220
CaH2_slab/6,Ca_077,0.805,0.305
CaH2_slab/6,Ca_078,0.805,0.305
CaH2_slab/6,Ca_079,0.805,0.305
CaH2_slab/6,Ca_080,0.805,0.305
CaH2_slab/6,Ca_081,0.898,0.398
CaH2_slab/6,Ca_082,0.898,0.398
CaH2_slab/6,Ca_083,0.898,0.398
CaH2_slab/6,Ca_084,0.898,0.398
CaH2_slab/6,Ca_085,0.977,0.477
CaH2_slab/6,Ca_086,0.977,0.477
CaH2_slab/6,Ca_087,0.977,0.477
CaH2_slab/6,Ca_088,0.977,0.477
CaH2_slab/6,Ca_089,0.898,0.398
CaH2_slab/6,Ca_090,0.898,0.398
CaH2_slab/6,Ca_091,0.898,0.398
CaH2_slab/6,Ca_092,0.898,0.398
CaH2_slab/6,Ca_093,0.977,0.477
CaH2_slab/6,Ca_094,0.977,0.477
CaH2_slab/6,Ca_095,0.977,0.477
CaH2_slab/6,Ca_096,0.977,0.477
CaH2_slab/7,Ca_001,0.020,0.480
CaH2_slab/7,Ca_002,0.020,0.480
CaH2_slab/7,Ca_003,0.020,0.480
CaH2_slab/7,Ca_004,0.020,0.480
CaH2_slab/7,Ca_005,0.087,0.413
CaH2_slab/7,Ca_006,0.087,0.413
CaH2_slab/7,Ca_007,0.087,0.413
CaH2_slab/7,Ca_008,0.087,0.413
CaH2_slab/7,Ca_009,0.020,0.480
CaH2_slab/7,Ca_010,0.020,0.480
CaH2_slab/7,Ca_011,0.020,0.480
CaH2_slab/7,Ca_012,0.020,0.480
CaH2_slab/7,Ca_013,0.087,0.413
CaH2_slab/7,Ca_014,0.087,0.413
CaH2_slab/7,Ca_015,0.087,0.413
CaH2_slab/7,Ca_016,0.087,0.413
CaH2_slab/7,Ca_017,0.166,0.334
CaH2_slab/7,Ca_018,0.166,0.334
CaH2_slab/7,Ca_019,0.166,0.334
CaH2_slab/7,Ca_020,0.166,0.334
CaH2_slab/7,Ca_021,0.238,0.262
CaH2_slab/7,Ca_022,0.238,0.262
CaH2_slab/7,Ca_023,0.238,0.262
CaH2_slab/7,Ca_024,0.238,0.262
CaH2_slab/7,Ca_025,0.166,0.334
CaH2_slab/7,Ca_026,0.166,0.334
CaH2_slab/7,Ca_027,0.166,0.334
CaH2_slab/7,Ca_028,0.166,0.334
CaH2_slab/7,Ca_029,0.238,0.262
CaH2_slab/7,Ca_030,0.238,0.262
CaH2_slab/7,Ca_031,0.238,0.262
CaH2_slab/7,Ca_032,0.238,0.262
CaH2_slab/7,Ca_033,0.314,0.186
CaH2_slab/7,Ca_034,0.314,0.186
CaH2_slab/7,Ca_035,0.314,0.186
CaH2_slab/7,Ca_036,0.314,0.186
CaH2_slab/7,Ca_037,0.388,0.112
CaH2_slab/7,Ca_038,0.388,0.112
CaH2_slab/7,Ca_039,0.388,0.112
CaH2_slab/7,Ca_040,0.388,0.112
CaH2_slab/7,Ca_041,0.314,0.186
CaH2_slab/7,Ca_042,0.314,0.186
CaH2_slab/7,Ca_043,0.314,0.186
CaH2_slab/7,Ca_044,0.314,0.186
CaH2_slab/7,Ca_045,0.388,0.112
CaH2_slab/7,Ca_046,0.388,0.112
CaH2_slab/7,Ca_047,0.388,0.112
CaH2_slab/7,Ca_048,0.388,0.112
CaH2_slab/7,Ca_049,0.462,0.038
CaH2_slab/7,Ca_050,0.462,0.038
CaH2_slab/7,Ca_051,0.462,0.038
CaH2_slab/7,Ca_052,0.462,0.038
CaH2_slab/7,Ca_053,0.538,0.038
CaH2_slab/7,Ca_054,0.538,0.038
CaH2_slab/7,Ca_055,0.538,0.038
CaH2_slab/7,Ca_056,0.538,0.038
CaH2_slab/7,Ca_057,0.462,0.038
CaH2_slab/7,Ca_058,0.462,0.038
CaH2_slab/7,Ca_059,0.462,0.038
CaH2_slab/7,Ca_060,0.462,0.038
CaH2_slab/7,Ca_061,0.538,0.038
CaH2_slab/7,Ca_062,0.538,0.038
CaH2_slab/7,Ca_063,0.538,0.038
CaH2_slab/7,Ca_064,0.538,0.038
CaH2_slab/7,Ca_065,0.612,0.112
CaH2_slab/7,Ca_066,0.612,0.112
CaH2_slab/7,Ca_067,0.612,0.112
CaH2_slab/7,Ca_068,0.612,0.112
CaH2_slab/7,Ca_069,0.686,0.186
CaH2_slab/7,Ca_070,0.686,0.186
CaH2_slab/7,Ca_071,0.686,0.186
CaH2_slab/7,Ca_072,0.686,0.186
CaH2_slab/7,Ca_073,0.612,0.112
CaH2_slab/7,Ca_074,0.612,0.112
CaH2_slab/7,Ca_075,0.612,0.112
CaH2_slab/7,Ca_076,0.612,0.112
CaH2_slab/7,Ca_077,0.686,0.186
CaH2_slab/7,Ca_078,0.686,0.186
CaH2_slab/7,Ca_079,0.686,0.186
CaH2_slab/7,Ca_080,0.686,0.186
CaH2_slab/7,Ca_081,0.762,0.262
CaH2_slab/7,Ca_082,0.762,0.262
CaH2_slab/7,Ca_083,0.762,0.262
CaH2_slab/7,Ca_084,0.762,0.262
CaH2_slab/7,Ca_085,0.834,0.334
CaH2_slab/7,Ca_086,0.834,0.334
CaH2_slab/7,Ca_087,0.834,0.334
CaH2_slab/7,Ca_088,0.834,0.334
CaH2_slab/7,Ca_089,0.762,0.262
CaH2_slab/7,Ca_090,0.762,0.262
CaH2_slab/7,Ca_091,0.762,0.262
CaH2_slab/7,Ca_092,0.762,0.262
CaH2_slab/7,Ca_093,0.834,0.334
CaH2_slab/7,Ca_094,0.834,0.334
CaH2_slab/7,Ca_095,0.834,0.334
CaH2_slab/7,Ca_096,0.834,0.334
CaH2_slab/7,Ca_097,0.913,0.413
CaH2_slab/7,Ca_098,0.913,0.413
CaH2_slab/7,Ca_099,0.913,0.413
CaH2_slab/7,Ca_100,0.913,0.413
CaH2_slab/7,Ca_101,0.980,0.480
CaH2_slab/7,Ca_102,0.980,0.480
CaH2_slab/7,Ca_103,0.980,0.480
CaH2_slab/7,Ca_104,0.980,0.480
CaH2_slab/7,Ca_105,0.913,0.413
CaH2_slab/7,Ca_106,0.913,0.413
CaH2_slab/7,Ca_107,0.913,0.413
CaH2_slab/7,Ca_108,0.913,0.413
CaH2_slab/7,Ca_109,0.980,0.480
CaH2_slab/7,Ca_110,0.980,0.480
CaH2_slab/7,Ca_111,0.980,0.480
CaH2_slab/7,Ca_112,0.980,0.480
CaH2_slab/8,Ca_001,0.017,0.483
CaH2_slab/8,Ca_002,0.017,0.483
CaH2_slab/8,Ca_003,0.017,0.483
CaH2_slab/8,Ca_004,0.017,0.483
CaH2_slab/8,Ca_005,0.075,0.425
CaH2_slab/8,Ca_006,0.075,0.425
CaH2_slab/8,Ca_007,0.075,0.425
CaH2_slab/8,Ca_008,0.075,0.425
CaH2_slab/8,Ca_009,0.017,0.483
CaH2_slab/8,Ca_010,0.017,0.483
CaH2_slab/8,Ca_011,0.017,0.483
CaH2_slab/8,Ca_012,0.017,0.483
CaH2_slab/8,Ca_013,0.075,0.425
CaH2_slab/8,Ca_014,0.075,0.425
CaH2_slab/8,Ca_015,0.075,0.425
CaH2_slab/8,Ca_016,0.075,0.425
CaH2_slab/8,Ca_017,0.144,0.356
CaH2_slab/8,Ca_018,0.144,0.356
CaH2_slab/8,Ca_019,0.144,0.356
CaH2_slab/8,Ca_020,0.144,0.356
CaH2_slab/8,Ca_021,0.207,0.293
CaH2_slab/8,Ca_022,0.207,0.293
CaH2_slab/8,Ca_023,0.207,0.293
CaH2_slab/8,Ca_024,0.207,0.293
CaH2_slab/8,Ca_025,0.144,0.356
CaH2_slab/8,Ca_026,0.144,0.356
CaH2_slab/8,Ca_027,0.144,0.356
CaH2_slab/8,Ca_028,0.144,0.356
CaH2_slab/8,Ca_029,0.207,0.293
CaH2_slab/8,Ca_030,0.207,0.293
CaH2_slab/8,Ca_031,0.207,0.293
CaH2_slab/8,Ca_032,0.207,0.293
CaH2_slab/8,Ca_033,0.273,0.227
CaH2_slab/8,Ca_034,0.273,0.227
CaH2_slab/8,Ca_035,0.273,0.227
CaH2_slab/8,Ca_036,0.273,0.227
CaH2_slab/8,Ca_037,0.337,0.163
CaH2_slab/8,Ca_038,0.337,0.163
CaH2_slab/8,Ca_039,0.337,0.163
CaH2_slab/8,Ca_040,0.337,0.163
CaH2_slab/8,Ca_041,0.273,0.227
CaH2_slab/8,Ca_042,0.273,0.227
CaH2_slab/8,Ca_043,0.273,0.227
CaH2_slab/8,Ca_044,0.273,0.227
CaH2_slab/8,Ca_045,0.337,0.163
CaH2_slab/8,Ca_046,0.337,0.163
CaH2_slab/8,Ca_047,0.337,0.163
CaH2_slab/8,Ca_048,0.337,0.163
CaH2_slab/8,Ca_049,0.403,0.097
CaH2_slab/8,Ca_050,0.403,0.097
CaH2_slab/8,Ca_051,0.403,0.097
